B001,The Great Gatsby,F. Scott Fitzgerald,Fiction,3,3
B002,To Kill a Mockingbird,Harper Lee,Fiction,2,2
B003,Clean Code,Robert C. Martin,Technology,4,4
B004,Data Structures in Java,Mark Weiss,Technology,5,5
B005,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,3,3
B006,A Brief History of Time,Stephen Hawking,Science,2,2
B007,The Alchemist,Paulo Coelho,Fiction,4,4
B008,Introduction to Algorithms,Cormen et al.,Technology,3,3
B009,Wings of Fire,A.P.J. Abdul Kalam,Biography,5,5
B010,Rich Dad Poor Dad,Robert Kiyosaki,Finance,3,3
